Date,Open,High,Low,Close,Volume
07/25/2024,"30.40","31.22","30.40","30.92","113,259"
07/24/2024,"30.52","31.14","30.28","30.38","64,674"
07/23/2024,"30.34","30.89","30.16","30.55","84,878"
07/22/2024,"30.01","30.60","29.65","30.39","137,270"
07/19/2024,"29.34","30.09","29.34","30.02","184,974"
07/18/2024,"28.89","29.95","28.89","29.34","102,262"
07/17/2024,"28.79","29.21","28.50","29.07","123,054"
07/16/2024,"28.58","29.15","28.33","28.82","123,918"
07/15/2024,"27.87","28.31","27.76","28.20","102,837"
07/12/2024,"27.84","28.14","27.56","27.66","118,553"
07/11/2024,"26.86","27.66","26.73","27.45","114,089"
07/10/2024,"26.16","26.28","25.84","26.28","34,229"
07/09/2024,"26.18","26.40","25.88","26.02","49,694"
07/08/2024,"26.37","26.68","26.19","26.31","68,124"
07/05/2024,"27.10","27.22","26.06","26.18","92,590"
07/03/2024,"27.71","27.71","26.87","27.18","60,205"
07/02/2024,"26.59","27.40","26.51","27.39","147,716"
07/01/2024,"27.04","27.04","26.31","26.51","67,621"
06/28/2024,"27.17","27.39","26.46","26.84","351,259"
06/27/2024,"27.09","27.09","26.45","26.93","152,076"
06/26/2024,"26.90","27.51","26.80","26.90","135,934"
06/25/2024,"27.37","27.37","26.89","27.08","81,458"
